	sample.name	sample	treatment1	treatment2	GAPDH	ACTIN	TARGET	ISmean.Ct	dCT	ddCT	RQ	adjRQ	gene
238	SB.DOX_rep1	SB.DOX	SB	DOX	17.0539	19.7299	20.5009	18.3919	-2.109	-1.32815	2.51080502260797	2.98276381655938	VIM
239	SB.DOX_rep2	SB.DOX	SB	DOX	17.836	20.2777	21.2831	19.05685	-2.22625	-1.2109	2.31481997732522	2.74993924579724	VIM
240	SB.DOX_rep3	SB.DOX	SB	DOX	17.43	20.0639	21.0872	18.74695	-2.34025	-1.0969	2.13894591019936	2.54100593597405	VIM
241	DMSO_rep1	DMSO	DMSO	Control	16.9164	18.9255	27.7236	17.92095	-9.80265	0	1	0.970767474204999	ZEB2
242	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	27.3236	17.7051	-9.6185	-0.184150000000006	1.13614738624954	1.10293492847408	ZEB2
243	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	27.7587	17.8884	-9.8703	0.0676499999999969	0.954191010653202	0.926297597320924	ZEB2
244	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	17.3887	19.2838	24.6474	18.33625	-6.31115	-3.4915	11.2472469250077	10.9184614891496	ZEB2
245	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.4432	19.2649	24.2398	18.35405	-5.88575	-3.91690000000001	15.1044317106929	14.6628910210913	ZEB2
246	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	17.3689	19.282	24.5671	18.32545	-6.24165	-3.561	11.8023316566627	11.4573196920682	ZEB2
247	SB_rep1	SB	SB	Control	16.018	18.2822	27.6249	17.1501	-10.4748	0.672149999999995	0.62757074241552	0.60922526449967	ZEB2
248	SB_rep2	SB	SB	Control	16.3221	18.5011	27.3809	17.4116	-9.9693	0.166649999999997	0.890909010265368	0.864865489641787	ZEB2
249	SB_rep3	SB	SB	Control	16.4114	18.6363	27.8717	17.52385	-10.34785	0.545199999999998	0.685296393651873	0.665263449147223	ZEB2
250	SB.DOX_rep1	SB.DOX	SB	DOX	17.0539	19.7299	24.6398	18.3919	-6.2479	-3.55475	11.7513125424911	11.4077919954676	ZEB2
251	SB.DOX_rep2	SB.DOX	SB	DOX	17.836	20.2777	25.0474	19.05685	-5.99055	-3.8121	14.0461223310197	13.6355186976585	ZEB2
252	SB.DOX_rep3	SB.DOX	SB	DOX	17.43	20.0639	24.9135	18.74695	-6.16655	-3.6361	12.432978059047	12.0695307072272	ZEB2
253	DMSO_rep1	DMSO	DMSO	Control	16.9164	18.9255	33.086	17.92095	-15.16505	0	1	0.827769898185975	ZEB3'-UTR
254	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	32.9594	17.7051	-15.2543	0.0892499999999998	0.940011296849808	0.778113055487032	ZEB3'-UTR
255	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	32.3014	17.8884	-14.413	-0.752050000000001	1.68418427558449	1.39411704632699	ZEB3'-UTR
256	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	17.3887	19.2838	30.8196	18.33625	-12.48335	-2.6817	6.41611499848499	5.31106685904543	ZEB3'-UTR
257	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.4432	19.2649	30.7141	18.35405	-12.36005	-2.805	6.98858316733357	5.78493877688793	ZEB3'-UTR
258	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	17.3689	19.282	30.2623	18.32545	-11.93685	-3.2282	9.37098045344441	7.75701553585044	ZEB3'-UTR
259	SB_rep1	SB	SB	Control	16.018	18.2822	32.6606	17.1501	-15.5105	0.34545	0.787062440727615	0.651506596427104	ZEB3'-UTR
260	SB_rep2	SB	SB	Control	16.3221	18.5011	32.9555	17.4116	-15.5439	0.37885	0.769050371242967	0.636596747503678	ZEB3'-UTR
261	SB_rep3	SB	SB	Control	16.4114	18.6363	33.8376	17.52385	-16.31375	1.1487	0.451031468797608	0.373350273005267	ZEB3'-UTR
262	SB.DOX_rep1	SB.DOX	SB	DOX	17.0539	19.7299	30.9445	18.3919	-12.5526	-2.61245	6.11541328226556	5.06215503002612	ZEB3'-UTR
263	SB.DOX_rep2	SB.DOX	SB	DOX	17.836	20.2777	32.4643	19.05685	-13.40745	-1.7576	3.3813515098254	2.79898099501916	ZEB3'-UTR
264	SB.DOX_rep3	SB.DOX	SB	DOX	17.43	20.0639	30.9469	18.74695	-12.19995	-2.9651	7.80879533189822	6.46388571684051	ZEB3'-UTR
265	DMSO_rep1	DMSO	DMSO	Control	18.3831729888916	19.5832004547119	28.9287433624268	18.9831867218018	-9.94555664062505	0	1	1.34825867189049	CDH2
266	DMSO_rep2	DMSO	DMSO	Control	16.5463237762451	19.6294498443604	28.9105033874512	18.0878868103027	-10.8226165771485	0.877059936523402	0.544475887038803	0.734094336335332	CDH2
267	DMSO_rep3	DMSO	DMSO	Control	18.2869205474854	19.9300022125244	29.6091041564941	19.1084613800049	-10.5006427764892	0.555086135864151	0.680616420947979	0.91764699177418	CDH2
268	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	18.3442878723145	20.0094661712646	26.0741481781006	19.1768770217896	-6.89727115631105	-3.048285484314	8.27228266922743	11.1531768451153	CDH2
269	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.6227893829346	20.2732639312744	26.3380165100098	18.9480266571045	-7.3899898529053	-2.55556678771975	5.87898374000458	7.92639080936435	CDH2
270	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	18.7752361297607	20.0066795349121	26.3745555877686	19.3909578323364	-6.9835977554322	-2.96195888519285	7.79181208934712	10.5053782192034	CDH2
271	SB_rep1	SB	SB	Control	16.9063453674316	18.9256439208984	29.4035968780518	17.915994644165	-11.4876022338868	1.54204559326175	0.343398205827079	0.462989608917995	CDH2
